TCP x,TCP y,TCP z,eef x,eef y,eef z,Cr(rzyz),Pitch(rzyz),Roll(rzyz),Manipulability,Waist_Roll,Waist_Pitch,RShoulder_Pitch,RShoulder_Roll,RElbow_Pitch,RElbow_Yaw,RWrist_Pitch,RWrist_Roll
0.309,-0.44999999999999996,0.7,0.28078872408382527,-0.34471408493449152,0.69999999999999996,-75,90.0,-90.0,0.069109182406905889,0.2057811621949263,-0.3371714291538421,2.3575038565945357,-1.3678973965373067,2.3566501129806823,1.266826097286137,-2.820816941868454,0.4815029241563795
0.309,-0.44999999999999996,0.7,0.25449999999999995,-0.35560323098749613,0.69999999999999996,-60,90.0,-90.0,0.071236923466980934,0.25054441640489267,-0.21712767787026657,2.456279330049622,-1.31690957892785,2.4108944795608864,1.2381315013688743,-2.8267349015804073,0.25145055463380234
0.309,-0.44999999999999996,0.7,0.23192536085066631,-0.3729253608506663,0.69999999999999996,-45,90.0,-90.0,0.074676730874454228,0.2897340327623174,-0.10326090744558854,2.5077349322179994,-1.2416390120488856,2.4575339052140013,1.1659284466537745,-2.8271816232547966,0.002241623952061406
0.309,-0.44999999999999996,0.7,0.21460323098749617,-0.39549999999999996,0.69999999999999996,-30,90.0,-90.0,0.075921192048813452,0.25194125724972755,-0.1977853117854302,2.8020453390491555,-0.8926397849818043,2.7024744114311403,1.2519901756786154,2.826326442152834,-0.032476553349651965
0.309,-0.44999999999999996,0.7,0.20371408493449156,-0.42178872408382517,0.69999999999999996,-15,90.0,-90.0,0.076233864031413509,0.2964718927700959,-0.15821702216887276,2.8203061747001326,-0.7495363059692114,2.7525684291188037,1.2040417263171408,2.734849280820003,-0.2934958940719284
0.309,-0.44999999999999996,0.7,0.19999999999999996,-0.44999999999999996,0.69999999999999996,0,90.0,-90.0,0.064615537485010255,0.24046976450051452,-0.3380079597083082,2.7540579673309056,-0.8010868181789637,2.32318703059753,1.1355331900778614,2.8259076184566525,-0.9138145439614511
0.309,-0.39999999999999997,0.7,0.309,-0.29099999999999993,0.69999999999999996,-90,90.0,-90.0,0.064476504799171594,0.11403687520845933,-0.48519224125704175,-0.8572804477707635,1.6104972228081798,-0.8330127028093396,1.4274724096446796,-2.7643812135664185,0.7509126980096946
0.309,-0.39999999999999997,0.7,0.28078872408382527,-0.29471408493449153,0.69999999999999996,-75,90.0,-90.0,0.062473505485735596,0.1572739707575705,-0.3875679188136292,-0.7070940191973704,1.58000776305011,-0.7681216908849455,1.4554964313683278,-2.801186579626436,0.536970313897548
0.309,-0.39999999999999997,0.7,0.25449999999999995,-0.30560323098749614,0.69999999999999996,-60,90.0,-90.0,0.063457064412802411,0.19859143855308303,-0.277831144819103,-0.5894751838178107,1.5177182478053122,-0.7162225844029015,1.4334183313176065,-2.826946100723703,0.313620812569
0.309,-0.39999999999999997,0.7,0.23192536085066631,-0.32292536085066625,0.69999999999999996,-45,90.0,-90.0,0.067850462986790469,0.2392578529043138,-0.1566222649940521,-0.5242935236756824,1.4372389879455285,-0.6829662377624667,1.3593769980376518,-2.8272634536220593,0.0674414771773664
0.309,-0.39999999999999997,0.7,0.21460323098749617,-0.34549999999999997,0.69999999999999996,-30,90.0,-90.0,0.073805785941730304,0.2725647780238716,-0.050957976553275226,-0.5048301454055517,1.3396693407241518,-0.6584796915033817,1.2552895527500383,-2.826838791338284,-0.19990521835393313
0.309,-0.39999999999999997,0.7,0.20371408493449156,-0.37178872408382518,0.69999999999999996,-15,90.0,-90.0,0.085893330780034083,0.29901439549862774,-0.17085584329772996,-0.12921812254549886,0.7184023686102952,-0.19960841237028426,1.4953479255938882,2.5921688090805888,0.06472299852988708
0.309,-0.39999999999999997,0.7,0.19999999999999996,-0.39999999999999997,0.69999999999999996,0,90.0,-90.0,0.078164696906301082,0.26763463403315746,-0.14817972833801374,-0.27465088773726853,0.8563075606941856,-0.418322297596061,1.262552417648044,2.7942227295034705,-0.5342091049082321
0.309,-0.39999999999999997,0.7,0.20371408493449156,-0.42821127591617475,0.69999999999999996,15,90.0,-90.0,0.070766315861595791,0.25109450364450747,-0.3603301037106577,-0.16817694013397164,0.7654440016407529,-0.7091303705497766,1.343154402291685,2.605661944972369,-0.9334581630735599
0.359,-0.3,0.7,0.30449999999999999,-0.20560323098749617,0.69999999999999996,-60,90.0,-90.0,0.071061198036435791,0.25495761523796623,-0.2839787613258189,-0.654768410411948,1.6817646786551217,-0.24865272773760658,1.2861178324281635,-2.701407494510144,0.8346124125868494
0.359,-0.3,0.7,0.28192536085066633,-0.2229253608506663,0.69999999999999996,-45,90.0,-90.0,0.075429602702847834,0.28432373198878585,-0.1710182313592683,-0.5882249120991174,1.6011181351693682,-0.22094047192693186,1.2248858145192147,-2.746468854707146,0.5805860500990284
0.359,-0.3,0.7,0.26460323098749616,-0.2455,0.69999999999999996,-30,90.0,-90.0,0.067833760460291812,0.2733570181782127,-0.17144538922136568,-0.5373364126890865,1.627557750015786,-0.3978759685117559,1.3539359438829959,-2.697698538528966,0.13502667757085243
0.359,-0.3,0.7,0.25371408493449155,-0.27178872408382521,0.69999999999999996,-15,90.0,-90.0,0.074484795721001237,0.28672406693256247,-0.09112964218325695,-0.5361621937802282,1.5162180251539767,-0.39935057297959603,1.2523766779084096,-2.755298725289632,-0.1517892790899203
0.359,-0.3,0.7,0.24999999999999994,-0.29999999999999999,0.69999999999999996,0,90.0,-90.0,0.084226987328443886,0.21307278586280382,-0.27891796252088896,-0.337272720996561,0.970952435236779,-0.012788406526525615,1.504761509478685,2.75609257238739,-0.04861188682736429
0.359,-0.3,0.7,0.25371408493449155,-0.32821127591617477,0.69999999999999996,15,90.0,-90.0,0.085629469491240631,0.2521994416351998,-0.2829168337155341,-0.36883037402848085,0.8127152665938989,0.016949419958681138,1.483933787186531,2.6362730579431655,-0.31016714211600255
0.359,-0.3,0.7,0.26460323098749616,-0.35449999999999998,0.69999999999999996,30,90.0,-90.0,0.083434409002064183,0.2893197094235914,-0.3200954338566636,-0.4311282530603282,0.6565829521146422,0.04452406436740307,1.4708573826267972,2.517856717670134,-0.5768660478136184
0.359,-0.3,0.7,0.28192536085066633,-0.3770746391493337,0.69999999999999996,45,90.0,-90.0,0.077265304483208466,0.28852728590795723,-0.3857083108383543,-0.5224954249027093,0.6075353538900543,-0.013453441033970785,1.3936590249294987,2.4775008202371054,-0.9443980600421021
0.259,-0.44999999999999996,0.7,0.25900000000000001,-0.34099999999999991,0.69999999999999996,-90,90.0,-90.0,0.06505502428505619,0.14176093833900752,-0.4289601102020659,-0.80749215580163,1.4908101993649605,-1.0748286114849774,1.4468184368875006,-2.7796597773986456,0.475962340747729
0.259,-0.44999999999999996,0.7,0.23078872408382525,-0.34471408493449152,0.69999999999999996,-75,90.0,-90.0,0.062582718225062589,0.17740459373948156,-0.3280628177790385,-0.6575029217094934,1.4694588084735571,-1.019493083342858,1.4678034217313858,-2.822068283324689,0.25968150215628366
0.259,-0.44999999999999996,0.7,0.20449999999999999,-0.35560323098749613,0.69999999999999996,-60,90.0,-90.0,0.063229403823102492,0.21867919747709197,-0.2066115252333631,-0.5457172363936309,1.4155507039805613,-0.9681097062430238,1.4386411370769945,-2.8271918739773056,0.035513299149428995
