Time (s),Cases
0.761377331,R90
0.701723021,R90
0.495360003,R90
0.779625929,R90
0.654523122,R90
0.710103748,R90
0.750755486,R90
0.745087319,R90
0.763679921,R90
0.720997014,R90
0.752580252,R90
0.663078098,R90
0.674739052,R90
0.430704729,R90
0.579202737,R90
0.707718644,R90
0.651186152,R90
0.810191809,R90
0.634600602,R90
0.663016626,R90
0.605371496,R90
0.694202425,R90
0.832687631,R90
0.951637825,R90
0.898807351,R90
0.533595193,R90
0.681731227,R90
0.73159096,R90
0.549607637,R90
0.818838047,R90
0.823171568,R90
0.443395099,R90
0.785847579,R90
0.420183367,R90
0.438271192,R90
0.465625174,R90
0.395951205,R90
0.893477987,R90
0.490606109,R90
0.91755647,R90
0.952157498,R90
0.907696402,R90
0.664139195,R90
0.63124188,R90
0.743520498,R90
0.708993,R90
0.813782468,R90
0.626339036,R90
0.470314759,R90
1.08474709,R90
0.736847504,R90
0.777067285,R90
0.717762182,R90
0.858610503,R90
0.761165254,R90
0.669016269,R90
0.712203953,R90
0.541986796,R90
0.789505857,R90
0.390101459,R90
0.63818275,R90
0.429434629,R90
0.618381991,R90
0.526629971,R90
0.492218561,R90
0.772388576,R90
0.704713858,R90
0.760409624,R90
0.490374881,R90
0.716965886,R90
0.946735217,R90
0.879701932,R90
0.98153059,R90
0.465103373,R90
0.516955501,R90
0.729637341,R90
0.981684269,R90
0.951322428,R90
0.974168402,R90
0.808998784,R90
0.437892432,R90
0.420058532,R90
0.679076593,R90
0.869438278,R90
0.618150053,R90
0.781082573,R90
1.018412219,R90
0.754994909,R90
0.743714844,R90
0.545670845,R90
0.568035685,R90
0.925121041,R90
0.916257525,R90
0.685565881,R90
0.748641331,R90
0.619402658,R90
0.430036579,R90
0.690806821,R90
0.483186233,R90
0.876726227,R90
0.942694159,R90
0.703598382,R90
0.738604886,R90
0.649766155,R90
0.634923092,R90
0.627088045,R90
0.658580967,R90
0.384697856,R90
0.715651809,R90
0.966566239,R90
0.646829697,R90
0.70887384,R90
0.988073311,R90
0.954888498,R90
0.897445752,R90
0.668897344,R90
0.668124692,R90
0.800875056,R90
0.599187675,R90
0.589089522,R90
0.871913462,R90
0.653539574,R90
0.641363676,R90
0.729782982,R90
0.691059801,R90
0.432497577,R90
0.543308438,R90
0.9498925,R90
0.785696737,R90
0.75610873,R90
0.824074021,R90
0.677488967,R90
0.492945346,R90
0.67972512,R90
0.780169244,R90
0.668128711,R90
0.538040073,R90
0.563111089,R90
0.796624758,R90
0.391764506,R90
0.875270292,R90
0.949348948,R90
0.515546143,R90
0.522013916,R90
0.496114687,R90
0.377389338,R90
0.932412536,R90
0.856374114,R90
0.672401707,R90
0.607937941,R90
0.656291381,R90
0.440421048,R90
0.90562575,R90
0.789801158,R90
0.681689615,R90
0.551839771,R90
0.63156508,R90
0.572145071,R90
0.724539205,R90
1.005602925,R90
0.863952398,R90
0.916433901,R90
0.559384246,R90
0.898995785,R90
0.572348401,R90
0.835721971,R90
0.579120459,R90
0.598668002,R90
0.732214662,R90
0.702495673,R90
0.517911386,R90
0.854974922,R90
0.629508614,R90
0.738079303,R90
0.539187231,R90
0.874701915,R90
0.452774269,R90
0.652049121,R90
0.907585516,R90
0.914635143,R90
0.587709954,R90
0.657814461,R90
0.436592304,R90
0.398262779,R90
0.823425494,R90
0.473668515,R90
0.734809715,R90
0.711203383,R90
0.598264416,R90
0.817907695,R90
0.827427777,R90
0.4437235,R90
0.625174855,R90
0.846192737,R90
0.392617072,R90
0.865234557,R90
0.678914875,R90
0.47716413,R90
0.5436924,R90
0.455228646,R90
0.740317584,R90
0.72217207,R90
0.659146034,R90
0.570574232,R90
0.877503371,R90
0.927887743,R90
0.817069788,R90
0.807670758,R90
0.628097364,R90
0.528038857,R90
0.480157804,R90
0.430429289,R90
0.768475663,R90
0.78950964,R90
0.420787209,R90
0.8686382,R90
0.701742881,R90
0.617159413,R90
0.713771719,R90
0.579389989,R90
0.689992556,R90
0.834435556,R90
0.673158282,R90
0.608372499,R90
0.954406654,R90
0.847863823,R90
0.429567502,R90
0.912508221,R90
0.779255916,R90
0.450765088,R90
0.47044645,R90
0.64603151,R90
0.978271878,R90
0.865538132,R90
0.629893285,R90
0.767575102,R90
0.513225584,R90
0.604667644,R90
0.480937313,R90
0.846016361,R90
0.444027785,R90
0.681044162,R90
0.778616373,R90
0.458490195,R90
0.525099798,R90
0.786139097,R90
0.747976018,R90
0.425418396,R90
0.762826173,R90
0.848726555,R90
0.731236788,R90
0.861633021,R90
0.571460843,R90
0.852972835,R90
0.681892945,R90
0.596616264,R90
0.540757124,R90
0.680489734,R90
0.561590845,R90
0.69440079,R90
0.843318933,R90
0.7025919,R90
0.596963343,R90
0.960428757,R90
0.917003224,R90
0.581641983,R90
0.728072412,R90
0.501292027,R90
0.79966028,R90
0.733360874,R90
0.584778934,R90
0.803530636,R90
0.53010478,R90
0.866550525,R90
0.893639705,R90
0.807770059,R90
0.623882767,R90
0.799587933,R90
0.623544672,R90
0.735509784,R90
0.460732259,R90
0.870441923,R90
0.808495898,R90
0.791067476,R90
0.73600274,R90
0.545862117,R90
0.432333258,R90
0.846943638,R90
0.871346267,R90
0.585704083,R90
0.627484538,R90
0.516818371,R90
0.853342611,R90
0.922179618,R90
0.738725939,R90
0.799236834,R90
0.708083691,R90
1.023729525,R90
0.808937312,R90
0.629628483,R90
0.500278689,R90
0.762561372,R90
0.952026515,R90
0.858289904,R90
0.95120043,R90
0.668721677,R90
0.723125119,R90
0.461238928,R90
0.629516416,R90
0.677682366,R90
0.560095427,R90
0.834912908,R90
0.4320921,R90
