old 90,new 90,old 180,new 180
0.539187231,0.140068263,1.152809689,0.230055918
0.874701915,0.141394656,0.800139003,0.251114552
0.452774269,0.144029494,1.554735287,0.24849816
0.652049121,0.136421594,1.505511742,0.282346144
0.907585516,0.169831695,1.355289993,0.218734746
0.914635143,0.124131181,0.757590736,0.283660446
0.587709954,0.144001845,0.926339836,0.220721954
0.657814461,0.121576863,0.97969191,0.284089835
0.436592304,0.16796713,1.223525402,0.209150916
0.398262779,0.12070303,1.746620049,0.278001204
0.823425494,0.14099812,0.9707828,0.257882195
0.473668515,0.143409831,1.444363874,0.239516891
0.734809715,0.119959436,1.229901137,0.222937045
0.711203383,0.140178129,0.678186261,0.254704275
0.598264416,0.143742581,0.905142323,0.275895047
0.817907695,0.138551485,1.02020201,0.263820857
0.827427777,0.1183796,0.883654525,0.284196328
0.4437235,0.14084654,1.290825827,0.217322012
0.625174855,0.146135132,1.305107402,0.262904925
0.846192737,0.14756848,1.304617594,0.214428886
0.392617072,0.120670532,1.121626772,0.240281145
0.865234557,0.122530973,0.880245665,0.221921703
0.678914875,0.126934577,1.35427618,0.280293966
0.47716413,0.144020035,1.496611374,0.211259271
0.5436924,0.122538007,1.411851405,0.209469661
0.455228646,0.124182113,1.291740136,0.279662095
0.740317584,0.13417747,1.380789077,0.246630634
0.72217207,0.119349232,1.467797792,0.291288577
0.659146034,0.172269114,1.380664118,0.22935932
0.570574232,0.136962676,0.917837741,0.251306043
0.877503371,0.144878831,1.248152344,0.247537041
0.927887743,0.143248064,1.361132724,0.252621566
0.817069788,0.173546758,1.218251928,0.258973253
0.807670758,0.121041844,1.61546174,0.272380309
0.628097364,0.147478987,0.697849041,0.245708595
0.528038857,0.123121047,1.440905134,0.254109041
0.480157804,0.128817574,1.233667132,0.284323337
0.430429289,0.148991399,0.953887115,0.254930693
0.768475663,0.122012446,0.993745679,0.233605584
0.78950964,0.141402902,1.122682753,0.213273346
0.420787209,0.128686366,1.462665733,0.26817801
0.8686382,0.163803631,1.141404227,0.273497014
0.701742881,0.122389821,1.444414269,0.237827423
0.617159413,0.146067952,1.145977828,0.250852229
0.713771719,0.147904141,1.380818388,0.278832138
0.579389989,0.129700623,0.932429913,0.25410611
0.689992556,0.144835176,1.093970733,0.276108276
0.834435556,0.11986679,1.625907126,0.217745295
0.673158282,0.118035694,1.220321465,0.21750129
0.608372499,0.124074187,1.076155082,0.250065504
0.954406654,0.126294785,0.857132629,0.216030181
0.847863823,0.164507451,1.165639579,0.249633183
0.429567502,0.144730161,1.1860426,0.221666708
0.912508221,0.139015444,1.191541566,0.219212985
0.779255916,0.122859601,1.410429804,0.280298363
0.450765088,0.148686298,1.254746886,0.209441083
0.47044645,0.168762626,1.131749219,0.279986701
0.64603151,0.140840476,1.25312499,0.259914588
0.978271878,0.146373054,1.293898121,0.276443386
0.865538132,0.119558535,1.230484536,0.214640894
0.629893285,0.170977161,1.402786995,0.244352038
0.767575102,0.139964461,1.177842104,0.261352968
0.513225584,0.117269786,0.987102542,0.290991571
0.604667644,0.140712178,1.4599912,0.253852091
0.480937313,0.118115243,0.75645942,0.276875462
0.846016361,0.141696847,1.227803318,0.25878567
0.444027785,0.13979275,1.186128734,0.275582653
0.681044162,0.119799609,1.247371479,0.26183023
0.778616373,0.151184834,1.501623873,0.276119512
0.458490195,0.144421906,0.958664609,0.220790832
0.525099798,0.120008184,1.616924994,0.251292853
0.786139097,0.140614682,1.22954503,0.233931412
0.747976018,0.14646764,0.825424679,0.246755689
0.425418396,0.136244305,0.882195384,0.268466956
0.762826173,0.166446229,1.233333651,0.250518341
0.848726555,0.122353927,1.259736759,0.290751718
0.731236788,0.140975808,1.479247735,0.217266812
0.861633021,0.125255304,0.812581933,0.277764771
0.571460843,0.1412666,1.018123732,0.249704015
0.852972835,0.143381455,0.748061972,0.276268992
0.681892945,0.147112768,0.997987342,0.217322012
0.596616264,0.122665335,0.726769069,0.270397009
0.540757124,0.114291285,1.393845745,0.251180255
0.680489734,0.165382254,0.678384498,0.287060632
0.561590845,0.118923836,1.51198981,0.208455296
0.69440079,0.141602503,1.801972495,0.215248585
0.843318933,0.142338822,0.865508993,0.280041902
0.7025919,0.155873167,1.49026135,0.262765703
0.596963343,0.166014042,1.042883346,0.281698641
0.960428757,0.118899583,1.582415238,0.215984018
0.917003224,0.119006296,1.333730974,0.243932175
0.581641983,0.117534386,1.543454013,0.249942646
